Accession,PC1,PC2
CSA185,96.0101559652566,31.812071066515
CSA188,51.0289394096038,-7.04625107496247
CSA189,31.1944889434302,-28.0289138744515
CSA190,-78.0126821255969,-131.208090381645
CSA191,-84.1736091892227,-76.2269918651099
CSA192,-84.7884393030125,-75.8648136539221
CSA193,-8.76074147049358,-71.0475897799418
CSA194,-64.4732736249117,-124.025441316186
CSA196,51.7055924680847,-15.0003684021611
CSA199,-206.238785111228,88.4298735762302
CSA201,119.345430750952,69.1176711911617
CSA202,5.7755154881503,-76.7268931915923
CSA203,-33.9488158610846,80.4878760980133
CSA206,65.2866775138275,-5.96685109566797
CSA207,114.512949483022,61.5292729272682
CSA208,76.2614196849757,20.3799563411083
CSA209,57.1032089867955,62.196567292146
CSA210,121.27547503344,75.2832967300837
CSA211,96.6056194855487,55.0372059394652
CSA212,50.9278855824561,-18.0985883511341
CSA213,77.255104142813,9.54980397058378
CSA214,68.2418800178555,-5.10147335579083
CSA215,83.9697792921161,32.5528692214524
CSA217,64.3395195325547,9.1500154594879
CSA218,60.5342901078108,1.34769458833985
CSA219,-40.8002345853839,-97.4601589466225
CSA220,-8.26688882514804,-57.2496645765197
CSA222,-8.55643459054457,-17.5766533366996
CSA223,-10.8149145477596,-17.6642063486042
CSA225,-207.526392305416,91.5275103875642
CSA226,-68.0645998048418,-83.6510469496625
CSA227,-65.0495658468716,-88.8442394299494
CSA228,20.1071844106538,-7.55588978857879
CSA229,1.19330547339904,-76.4145314923769
CSA230,9.84383247675149,-82.105735411068
CSA231,-33.0365248940325,-109.975373061504
CSA232,60.025958582267,2.88035434534507
CSA233,57.162446584215,2.22981241712273
CSA235,6.36736012240431,-69.7788678806954
CSA236,11.0155589566846,-72.5821846660175
CSA245,25.808924983478,-29.3242228064525
CSA246,50.7439364121094,-14.4214413981377
CSA248,-29.9255601786791,-12.7849195447081
CSA249,83.4811215169357,8.04971636503154
CSA250,-151.831204909025,-9.25297636903262
CSA251,-52.2591354221541,-115.716735395383
CSA252,-5.97491081720574,-48.7021245591147
CSA253,-82.9650246042911,73.4836102132428
CSA254,7.10382417646729,-76.2634760119877
